rank,filename,image_path,gt_text,pre_shape,pre_min,pre_max,pre_mean,logits_shape,topk,raw_ids,raw_text,post_text,cer_raw_vs_gt,cer_post_vs_gt,error
1,AHTD3A0216_Para1_5.jpg,data/raw/KHATT/Validate_deskewed/Validate_deskewed/AHTD3A0216_Para1_5.jpg,بث  نسر.,"(1, 1, 64, 1024)",0.0,1.0,0.06846588850021362,"(1, 1, 67)","[[47, 0.7513353228569031], [24, 0.12594132125377655], [43, 0.07017377763986588], [48, 0.030061794444918633], [42, 0.004457695409655571], [52, 0.003640291513875127], [44, 0.00258055841550231], [35, 0.0025120971258729696], [50, 0.0007588333101011813], [41, 0.0007144389091990888]]",1 47 36 33 35 33 2,قرخذخ,قرخذخ,1.0,1.0,
2,AHTD3A0139_Para1_2.jpg,data/raw/KHATT/Validate_deskewed/Validate_deskewed/AHTD3A0139_Para1_2.jpg,عطعوط وهلال خازن عفيف للحج .  بدإت قوافل,"(1, 1, 64, 1024)",0.0,1.0,0.0848347395658493,"(1, 1, 67)","[[41, 0.9994701743125916], [42, 0.00012910614896100014], [31, 8.262091432698071e-05], [39, 6.395015952875838e-05], [29, 5.1722228818107396e-05], [45, 3.1810366635909304e-05], [19, 1.844393955252599e-05], [52, 1.6547064660699107e-05], [24, 1.5024949789221864e-05], [49, 1.488746602262836e-05]]",1 41 39 41 50 39 4 50 49 46 23 46 4 30 23 34 48 4 41 43 52 43 4 46 46 29 28 4 13 4 24 31 23 26 4 44 50 23 43 46 4 23 46 29 28 52 28 4 13 4 24 31 23 26 2,ضشضمش ملفؤف ثؤدك ضظهظ ففتة . إجؤا عمؤظف ؤفتةهة . إجؤا,ضشضمش ملفؤف ثؤدك ضظهظ ففتة. اجؤا عمؤظف ؤفتةهة. اجؤا,1.075,1.075,
3,AHTD3A0190_Para1_4.jpg,data/raw/KHATT/Validate_deskewed/Validate_deskewed/AHTD3A0190_Para1_4.jpg,النص: مشمش  دراق  غيط  ناء   بث  نسر,"(1, 1, 64, 1024)",0.0,1.0,0.004772590473294258,"(1, 1, 67)","[[23, 0.9813248515129089], [50, 0.004940117709338665], [6, 0.0030962058808654547], [46, 0.002613639924675226], [19, 0.001335594104602933], [47, 0.0008484651916660368], [49, 0.0007156495121307671], [27, 0.0005091002094559371], [43, 0.00047629521577619016], [24, 0.0003480181621853262]]",1 23 46 26 23 46 52 25 4 46 49 32 23 4 23 46 48 37 15 4 47 36 47 36 4 31 33 23 44 4 42 52 40 4 48 23 20 4 24 27 4 48 35 33 4 13 2,ؤفاؤفهئ فلحؤ ؤفكز: قرقر جخؤع طهص كؤء إب كذخ .,ؤفاؤفهئ فلحؤ ؤفكز: قرقر جخؤع طهص كؤء اب كذخ.,0.9722222222222222,0.9444444444444444,
4,AHTD3A0188_Para1_2.jpg,data/raw/KHATT/Validate_deskewed/Validate_deskewed/AHTD3A0188_Para1_2.jpg,خازن عفيف للحج أثر —خر يلبي.  عند وصولنا طفنا وسعينا مع شيخ. كان جاري,"(1, 1, 64, 1024)",0.0,1.0,0.08821877837181091,"(1, 1, 67)","[[30, 0.9990352392196655], [38, 0.0003771412302739918], [40, 0.00023068147129379213], [29, 9.084233170142397e-05], [43, 8.169235661625862e-05], [27, 5.225040877121501e-05], [42, 3.393707811483182e-05], [44, 2.0856012270087376e-05], [63, 1.8321337847737595e-05], [28, 1.2781430086761247e-05]]",1 30 23 34 48 4 41 43 52 43 4 46 46 29 28 4 13 4 24 31 23 26 4 44 50 23 43 46 4 23 46 29 28 52 28 4 29 23 28 4 23 27 33 4 63 30 33 4 52 46 24 52 4 13 4 41 48 31 4 50 37 50 46 48 23 4 39 43 48 23 4 50 35 41 52 48 23 4 47 41 4 36 52 2,ثؤدك ضظهظ ففتة . إجؤا عمؤظف ؤفتةهة تؤة ؤبخ ٧ثخ هفإه . ضكج مزمفكؤ شظكؤ مذضهكؤ قض ره,ثؤدك ضظهظ ففتة. اجؤا عمؤظف ؤفتةهة تؤة ؤبخ ٧ثخ هفاه. ضكج مزمفكؤ شظكؤ مذضهكؤ قض ره,0.9565217391304348,0.9420289855072463,
5,AHTD3A0201_Para1_6.jpg,data/raw/KHATT/Validate_deskewed/Validate_deskewed/AHTD3A0201_Para1_6.jpg,؛ النص: مشمش دراق  غيظ   ناء   بث  نسر,"(1, 1, 64, 1024)",0.0,1.0,0.08376680314540863,"(1, 1, 67)","[[23, 0.9935531616210938], [19, 0.0055527170188724995], [46, 0.00028920453041791916], [4, 0.00018587044905871153], [63, 8.0955280282069e-05], [9, 6.466454942710698e-05], [2, 5.260892430669628e-05], [25, 2.3858487111283466e-05], [31, 1.7877466234494932e-05], [15, 1.5943032849463634e-05]]",1 23 46 26 23 46 52 25 4 46 49 32 23 4 23 46 48 37 4 15 4 47 36 47 36 4 31 33 23 44 4 42 52 40 4 48 23 20 4 24 27 4 48 35 33 2,ؤفاؤفهئ فلحؤ ؤفكز : قرقر جخؤع طهص كؤء إب كذخ,ؤفاؤفهئ فلحؤ ؤفكز: قرقر جخؤع طهص كؤء اب كذخ,0.8947368421052632,0.8947368421052632,
6,AHTD3A0192_Para1_1.jpg,data/raw/KHATT/Validate_deskewed/Validate_deskewed/AHTD3A0192_Para1_1.jpg,ذهب نوح مظفر صرغام بصحبة رؤوف بن لؤي رايق ظافر ؛,"(1, 1, 64, 1024)",0.0,1.0,0.0561680793762207,"(1, 1, 67)","[[32, 0.9997883439064026], [31, 0.00016972297453321517], [48, 1.7543976355227642e-05], [34, 5.146048806636827e-06], [26, 2.952408976852894e-06], [6, 1.6546341612411197e-06], [40, 1.230999600920768e-06], [27, 1.0164510513277492e-06], [21, 9.69836833064619e-07], [36, 9.006330969896226e-07]]",1 32 49 24 4 48 50 29 4 47 40 43 33 4 38 33 42 23 47 4 31 37 29 24 25 4 33 21 50 43 4 19 4 24 48 4 46 21 52 4 33 23 52 44 4 40 23 43 33 4 41 39 41 50 39 2,حلإ كمت قصظخ سخطؤق جزتإئ خآمظ ؛ إك فآه خؤهع صؤظخ ضشضمش,حلا كمت قصظخ سخطؤق جزتائ خامظ؛ اك فاه خؤهع صؤظخ ضشضمش,0.9166666666666666,0.8958333333333334,
7,AHTD3A0219_Para1_1.jpg,data/raw/KHATT/Validate_deskewed/Validate_deskewed/AHTD3A0219_Para1_1.jpg,ذهب مظفر ضرغام بصحبة رؤوف بن لؤي رايق ظافر عطعوط وهلال خازن,"(1, 1, 64, 1024)",0.0,1.0,0.1257948875427246,"(1, 1, 67)","[[32, 0.9998088479042053], [31, 8.610067015979439e-05], [34, 3.9261882193386555e-05], [15, 2.0661556845880114e-05], [48, 1.7360471247229725e-05], [23, 4.9728009798855055e-06], [4, 4.37087601312669e-06], [6, 4.323073881096207e-06], [9, 2.108138005496585e-06], [26, 1.4486699910776224e-06]]",1 32 49 24 4 48 50 29 4 47 40 43 33 4 38 33 42 23 47 4 24 37 29 24 25 4 33 21 50 43 4 24 48 4 46 21 52 4 33 23 52 44 4 40 23 43 33 4 41 39 41 50 39 4 50 49 46 23 46 4 30 23 34 48 2,حلإ كمت قصظخ سخطؤق إزتإئ خآمظ إك فآه خؤهع صؤظخ ضشضمش ملفؤف ثؤدك,حلا كمت قصظخ سخطؤق ازتائ خامظ اك فاه خؤهع صؤظخ ضشضمش ملفؤف ثؤدك,0.864406779661017,0.864406779661017,
8,AHTD3A0238_Para1_1.jpg,data/raw/KHATT/Validate_deskewed/Validate_deskewed/AHTD3A0238_Para1_1.jpg,ذهب نوح مظفر ضرغام بصحبة رؤوف بن لؤي ظافر عطعوط وهلال خازن عفيف الحج .,"(1, 1, 64, 1024)",0.0,1.0,0.03450353071093559,"(1, 1, 67)","[[32, 0.9843299984931946], [50, 0.004485578741878271], [48, 0.004009829834103584], [31, 0.0026345124933868647], [26, 0.001314507913775742], [6, 0.0006751539185643196], [46, 0.0005281841731630266], [49, 0.00022269417240750045], [15, 0.00016516965115442872], [9, 0.00013696153473574668]]",1 32 49 24 4 48 50 29 4 47 40 43 33 4 38 33 42 23 47 4 24 37 29 24 25 4 33 21 50 43 4 24 48 4 46 21 52 4 33 23 52 44 4 40 23 43 33 4 41 39 41 50 39 4 50 49 46 23 46 4 30 23 34 48 4 41 43 52 43 4 46 46 29 28 2,حلإ كمت قصظخ سخطؤق إزتإئ خآمظ إك فآه خؤهع صؤظخ ضشضمش ملفؤف ثؤدك ضظهظ ففتة,حلا كمت قصظخ سخطؤق ازتائ خامظ اك فاه خؤهع صؤظخ ضشضمش ملفؤف ثؤدك ضظهظ ففتة,0.8571428571428571,0.8571428571428571,
9,AHTD3A0201_Para1_5.jpg,data/raw/KHATT/Validate_deskewed/Validate_deskewed/AHTD3A0201_Para1_5.jpg,الكلمات التالية لهذا,"(1, 1, 64, 1024)",0.0,1.0,0.06824855506420135,"(1, 1, 67)","[[23, 0.9994107484817505], [19, 0.00011346199607942253], [9, 0.00010870051482925192], [46, 9.208863775711507e-05], [63, 7.588757580379024e-05], [50, 3.6700123018817976e-05], [13, 2.2953037841944024e-05], [6, 1.7786074749892578e-05], [4, 1.5678740965086035e-05], [54, 1.2152680938015692e-05]]",1 23 46 45 46 47 23 26 4 23 46 26 23 46 52 25 2,ؤفغفقؤا ؤفاؤفهئ,ؤفغفقؤا ؤفاؤفهئ,0.85,0.85,
10,AHTD3A0176_Para1_6.jpg,data/raw/KHATT/Validate_deskewed/Validate_deskewed/AHTD3A0176_Para1_6.jpg,هل تعلم فاىدة الكلمات ؛ التالية لهذا النص: مشمش  دراق  غيظ ,"(1, 1, 64, 1024)",0.0,1.0,0.06478672474622726,"(1, 1, 67)","[[49, 0.9441460967063904], [29, 0.015611405484378338], [46, 0.0141376918181777], [39, 0.014104642905294895], [37, 0.0037479307502508163], [40, 0.002409108681604266], [4, 0.001101967878639698], [38, 0.0006276174099184573], [45, 0.0006229973514564335], [30, 0.0006122689228504896]]",1 49 46 4 26 41 46 47 4 43 23 51 31 25 4 23 46 45 46 47 23 26 4 23 46 26 23 46 52 25 4 46 49 32 23 4 23 46 48 37 4 15 4 47 36 47 36 4 31 33 23 44 4 42 52 40 4 48 23 20 2,لف اضفق ظؤنجئ ؤفغفقؤا ؤفاؤفهئ فلحؤ ؤفكز : قرقر جخؤع طهص كؤء,لف اضفق ظؤنجئ ؤفغفقؤا ؤفاؤفهئ فلحؤ ؤفكز: قرقر جخؤع طهص كؤء,0.864406779661017,0.847457627118644,
